,content,summary
254,"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style?
255,With the korean girl more slut and bitch : Hyuna :'33﻿,With the korean girl more slut and bitch : Hyuna :'33﻿
256,Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.﻿,Check this out: Kollektivet - Don't be slappin' my penis! I  think that they deserve much more credit than they receive.﻿
257,Still a very fun music video to watch! ﻿,Still a very fun music video to watch!
258,C'mon 3 billion views!!!!!!!!﻿,C'mon 3 billion views!!!!!!!!﻿
259,"Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that. Thanks!﻿","Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that."
260,"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿","Hey I think I know what where dealing with here!!!! The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video."
261,subscribe my chanel﻿,subscribe my chanel﻿
262,"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿","THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿"
263,LoL﻿,
264,If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿,If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿
265,"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿","9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿"
266,PSY is a good guy﻿,PSY is a good guy﻿
267,WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿
268,https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿,https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿
269,1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿,1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿
270,The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.﻿,The little PSY is suffering Brain Tumor and only has 6 more months to live. Please pray to him and the best lucks.﻿
271,For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿,For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿
272,How stupid humanity is﻿,How stupid humanity is﻿
273,Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿,Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿
274,You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿,You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿
275,"We get it, you came here for the views... ﻿","We get it, you came here for the views... ﻿"
276,Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿,Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿
277,"Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer﻿","Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer﻿"
278,"This song is great there are 2,127,315,950 views wow﻿","This song is great there are 2,127,315,950 views wow﻿"
279,I'm watching this in 2014﻿,I'm watching this in 2014﻿
280,Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿
281,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿","how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿"
282,What my gangnam style﻿,What my gangnam style﻿
283,Lol this youtuber (officialpsy) is getting so much money lol﻿,Lol this youtuber (officialpsy) is getting so much money lol﻿
284,1 million dislikes!EPIC FAIL(ready for you fanboys)﻿,1 million dislikes!EPIC FAIL(ready for you fanboys)﻿
285,"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿","If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿"
286,"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿","Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking."
287,"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.﻿","If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.﻿"
288,if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿
289,YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!
290,2 billion for this shit?﻿,2 billion for this shit?﻿
291,"2 billion views, only 2 million shares﻿","2 billion views, only 2 million shares﻿"
292,Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!﻿,Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!﻿
293,If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿,If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video!
294,follower please https://www.facebook.com/lists/161620527267482﻿,follower please https://www.facebook.com/lists/161620527267482﻿
295,2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿
296,If i reach 100 subscribers i will tazz my self and my friend﻿,If i reach 100 subscribers i will tazz my self and my friend﻿
297,Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿,Please help me go to college guys! Thanks from the bottom of my heart.
298,https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ﻿,https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ﻿
299,I am so awesome and smart!!! Sucscribe to me!﻿,I am so awesome and smart!!! Sucscribe to me!﻿
300,Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿,Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿
301,http://hackfbaccountlive.com/?ref=4436607  psy news offıcal ﻿,http://hackfbaccountlive.com/?ref=4436607  psy news offıcal ﻿
302,https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿
303,im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,im sorry for the spam but My name is Jenny. I have low self esteem . i did have one friend name Caroline but she moved away so now im alone. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.
304, I hate this song! ﻿,I hate this song!
305,please throw a sub on my channel﻿,please throw a sub on my channel﻿
306,"NEW GOAL!   3,000,000!  Let's go for it!﻿",Let's go for it!﻿
307,Go to my channel if u want to see a fly getting burned alive﻿,Go to my channel if u want to see a fly getting burned alive﻿
308,just came here to check the views :P﻿,just came here to check the views :P﻿
309,"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!﻿","COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!﻿"
310,I hav absolutely no idea what he's saying. Is it even a language?﻿,I hav absolutely no idea what he's saying. Is it even a language?﻿
311,Please check out my vidios guys﻿,Please check out my vidios guys﻿
312,I still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿,I still to this day wonder why this video is so popular ?? illuminati  confirmed ??
313,Hey guys can you check my channel out plz. I do mine craft videos. Let's  shoot for 20 subs﻿,Hey guys can you check my channel out plz. I do mine craft videos.
314,This is getting old.........﻿,This is getting old.........﻿
315,PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿
316,just came to check the view count﻿,just came to check the view count﻿
317,Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿
318,Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,Check out my Music Videos! and PLEASE SUBSCRIBE!!!!
319,www.marketglory.com/strategygame/lordviperas﻿,www.marketglory.com/strategygame/lordviperas﻿
320,"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿","If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now."
321,WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD﻿,WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!!
322,I think he was drunk during this :) x)﻿,I think he was drunk during this :) x)﻿
323,Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin﻿,Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.
324,"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿","Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿"
325,http://hackfbaccountlive.com/?ref=5242575﻿,http://hackfbaccountlive.com/?ref=5242575﻿
326,"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿","I wanted to know the name of the guy that dances at 00:58, anybody knows ?"
327,https://www.facebook.com/FUDAIRYQUEEN?pnref=story﻿,https://www.facebook.com/FUDAIRYQUEEN?pnref=story﻿
328,"Haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!﻿","Haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!﻿"
329,FOLLOW MY COMPANY ON TWITTER  thanks.  https://twitter.com/TheWaxedHatCo﻿,FOLLOW MY COMPANY ON TWITTER  thanks. https://twitter.com/TheWaxedHatCo﻿
330,imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿,imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿
331,Hey come check us out were new on youtube let us know what you think and  don't forget to subscribe thanks.﻿,Hey come check us out were new on youtube let us know what you think and  don't forget to subscribe thanks.﻿
332,"The girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows D:﻿","The girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows D:﻿"
333,"Look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/﻿",
334,"Don't mind me, I'm just checking what the views are up to : )﻿","Don't mind me, I'm just checking what the views are up to : )﻿"
335,"Hey guys can you check my YouTube channel I know you hate comments like  this one but I promise if you check my videos it will be entertaining I do  Shotgun Montages,Ninja Defuse Montages and Trolling please guys can you  check them out and thanks have a good day!!!!!!!﻿","Hey guys can you check my YouTube channel I know you hate comments like  this one but I promise if you check my videos it will be entertaining I do  Shotgun Montages,Ninja Defuse Montages and Trolling please guys can you  check them out and thanks have a good day!!!!!!!﻿"
336,"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿","To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿"
337,https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ﻿,https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ﻿
338,https://www.facebook.com/eeccon/posts/733949243353321?comment_id=734237113324534&amp;offset=0&amp;total_comments=74   please like frigea marius gabriel comment :D﻿,https://www.facebook.com/eeccon/posts/733949243353321?comment_id=734237113324534&amp;offset=0&amp;total_comments=74   please like frigea marius gabriel comment :D﻿
339,"http://www.bing.com/explore/rewards?PUBL=REFERAFRIEND&amp;CREA=RAW&amp;rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca Bing rewards, earn free money. AND NO U CANT GET UR VIRUS IN BLUE!﻿","http://www.bing.com/explore/rewards?PUBL=REFERAFRIEND&amp;CREA=RAW&amp;rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca Bing rewards, earn free money. AND NO U CANT GET UR VIRUS IN BLUE!﻿"
340,Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas﻿,Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide!
341,Free my apps get 1m crdits ! Just click on the link and download a app and  done!! · Link: https://m.freemyapps.com/share/url/5af506e1﻿,Free my apps get 1m crdits ! Just click on the link and download a app and  done!! ·
342,Why does a song like this have more views than Michael Jackson SMH﻿,Why does a song like this have more views than Michael Jackson SMH﻿
343," Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿","Something to dance to, even if your sad JUST dance!! PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿"
344,everyones back lool this is almost 3 years old and people are still hear!  xD﻿,everyones back lool this is almost 3 years old and people are still hear!
345,How can this have 2 billion views when there's only me on the planet? LOL﻿,How can this have 2 billion views when there's only me on the planet?
346,I don't now why I'm watching this in 2014﻿,I don't now why I'm watching this in 2014﻿
347,subscribe to me for call of duty vids and give aways Goal-100 subs﻿,subscribe to me for call of duty vids and give aways Goal-100 subs﻿
348,hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editor﻿,hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editor﻿
349,"The first billion viewed this because they thought it was really cool, the  other billion and a half came to see how stupid the first billion were...﻿","The first billion viewed this because they thought it was really cool, the  other billion and a half came to see how stupid the first billion were...﻿"
